ACCOUNT_ID,CUSTOMER_ID,INIT_BALANCE,COUNTRY,ACCOUNT_TYPE,IS_FRAUD,TX_BEHAVIOR_ID,OCCUPATION,SOURCE_OF_FUNDS,PEP_STATUS,DOCUMENT_STATUS,SANCTIONS_STATUS
0,C_0,184.44,US,I,False,1,Software Developer,Savings,No,Verified,Cleared
1,C_1,175.8,US,I,False,1,Engineer,Salary,No,Verified,Cleared
2,C_2,142.06,US,I,False,1,Engineer,Investment,No,Verified,Cleared
3,C_3,125.89,US,I,False,1,Software Developer,Savings,No,Verified,Cleared
4,C_4,151.13,US,I,False,1,Teacher,Savings,No,Verified,Cleared
5,C_5,140.49,US,I,False,1,Business Owner,Savings,No,Verified,Cleared
6,C_6,178.38,US,I,False,1,Business Owner,Business Income,No,Verified,Cleared
7,C_7,130.33,US,I,False,1,Business Owner,Business Income,No,Verified,Cleared
8,C_8,147.66,US,I,False,1,Software Developer,Salary,No,Verified,Cleared
9,C_9,158.34,US,I,False,1,Engineer,Savings,No,Verified,Cleared
10,C_10,190.81,US,I,False,1,Software Developer,Salary,No,Verified,Cleared
11,C_11,150.47,US,I,False,1,Software Developer,Salary,No,Verified,Cleared
12,C_12,128.18,US,I,False,1,Consultant,Investment,No,Verified,Cleared
13,C_13,175.58,US,I,False,1,Engineer,Investment,No,Verified,Cleared
14,C_14,161.84,US,I,False,1,Consultant,Business Income,No,Verified,Cleared
15,C_15,125.05,US,I,False,1,Student,Family Support,No,Verified,Cleared
16,C_16,190.97,US,I,False,1,Engineer,Unknown,No,Verified,Cleared
17,C_17,198.28,US,I,False,1,Engineer,Salary,No,Verified,Cleared
18,C_18,181.02,US,I,False,1,Engineer,Salary,No,Verified,Cleared
19,C_19,190.22,US,I,False,1,Business Owner,Business Income,No,Verified,Cleared
20,C_20,262.03,US,I,False,2,Business Owner,Savings,No,Verified,Cleared
21,C_21,345.97,US,I,False,2,Consultant,Unknown,Yes,Verified,Cleared
22,C_22,379.77,US,I,False,2,Consultant,Savings,Yes,Verified,Cleared
23,C_23,336.8,US,I,False,2,Engineer,Savings,No,Verified,Cleared
24,C_24,294.43,US,I,False,2,Consultant,Investment,Yes,Verified,Cleared
25,C_25,220.14,US,I,False,2,Business Owner,Investment,No,Verified,Cleared
26,C_26,286.83,US,I,False,2,Software Developer,Savings,No,Pending,Cleared
27,C_27,322.18,US,I,False,2,Software Developer,Salary,No,Verified,Cleared
28,C_28,382.6,US,I,False,2,Software Developer,Investment,Yes,Verified,Cleared
29,C_29,393.32,US,I,False,2,Consultant,Salary,No,Verified,Cleared
30,C_30,295.4,US,I,False,2,Student,Savings,No,Verified,Cleared
31,C_31,373.06,US,I,False,2,Business Owner,Business Income,No,Verified,Cleared
32,C_32,252.1,US,I,False,2,Student,Savings,No,Pending,Cleared
33,C_33,361.01,US,I,False,2,Consultant,Salary,No,Verified,Cleared
34,C_34,309.74,US,I,False,2,Teacher,Salary,No,Pending,Cleared
35,C_35,202.81,US,I,False,2,Engineer,Investment,No,Verified,Cleared
36,C_36,343.94,US,I,False,2,Business Owner,Business Income,No,Verified,Cleared
37,C_37,279.76,US,I,False,2,Software Developer,Savings,No,Verified,Potential Match
38,C_38,364.97,US,I,False,2,Student,Family Support,No,Verified,Cleared
39,C_39,333.63,US,I,False,2,Teacher,Salary,No,Verified,Cleared
40,C_40,400.23,US,I,False,3,Teacher,Salary,No,Verified,Cleared
41,C_41,498.72,US,I,False,3,Business Owner,Business Income,No,Verified,Cleared
42,C_42,573.52,US,I,False,3,Business Owner,Savings,No,Verified,Cleared
43,C_43,448.78,US,I,False,3,Teacher,Salary,No,Verified,Cleared
44,C_44,465.04,US,I,False,3,Engineer,Investment,No,Verified,Cleared
45,C_45,574.09,US,I,False,3,Engineer,Salary,No,Verified,Cleared
46,C_46,438.21,US,I,False,3,Student,Family Support,No,Verified,Cleared
47,C_47,513.5,US,I,False,3,Engineer,Salary,No,Verified,Cleared
48,C_48,447.72,US,I,False,3,Teacher,Salary,No,Verified,Cleared
49,C_49,593.51,US,I,False,3,Teacher,Salary,No,Verified,Cleared
50,C_50,560.64,US,I,False,3,Consultant,Investment,No,Verified,Cleared
51,C_51,489.59,US,I,False,3,Teacher,Salary,No,Verified,Cleared
52,C_52,416.09,US,I,False,3,Engineer,Investment,No,Verified,Cleared
53,C_53,464.01,US,I,False,3,Software Developer,Salary,No,Verified,Cleared
54,C_54,501.59,US,I,False,3,Student,Savings,No,Verified,Cleared
55,C_55,586.57,US,I,False,3,Consultant,Savings,No,Verified,Cleared
56,C_56,421.81,US,I,False,3,Engineer,Investment,No,Verified,Cleared
57,C_57,510.25,US,I,False,3,Student,Savings,No,Verified,Cleared
58,C_58,541.31,US,I,False,3,Engineer,Salary,No,Verified,Potential Match
59,C_59,509.49,US,I,False,3,Consultant,Savings,No,Verified,Cleared
60,C_60,181.45,US,I,False,4,Teacher,Savings,No,Verified,Cleared
61,C_61,154.03,US,I,False,4,Software Developer,Salary,No,Verified,Cleared
62,C_62,196.38,US,I,False,4,Consultant,Salary,No,Verified,Cleared
63,C_63,160.32,US,I,True,4,Teacher,Salary,No,Verified,Cleared
64,C_64,158.76,US,I,False,4,Consultant,Business Income,No,Pending,Cleared
65,C_65,144.5,US,I,False,4,Business Owner,Savings,No,Verified,Cleared
66,C_66,159.63,US,I,False,4,Software Developer,Investment,No,Verified,Cleared
67,C_67,138.49,US,I,False,4,Engineer,Investment,No,Pending,Cleared
68,C_68,157.57,US,I,False,4,Engineer,Salary,No,Verified,Cleared
69,C_69,129.03,US,I,False,4,Software Developer,Salary,No,Verified,Cleared
70,C_70,118.94,US,I,True,4,Business Owner,Business Income,Yes,Verified,Cleared
71,C_71,118.67,US,I,False,4,Teacher,Salary,No,Verified,Cleared
72,C_72,161.28,US,I,False,4,Engineer,Investment,No,Verified,Cleared
73,C_73,165.67,US,I,True,4,Business Owner,Savings,No,Verified,Cleared
74,C_74,147.65,US,I,False,4,Engineer,Savings,No,Verified,Cleared
75,C_75,108.98,US,I,False,4,Student,Savings,No,Pending,Cleared
76,C_76,175.76,US,I,False,4,Teacher,Savings,No,Verified,Cleared
77,C_77,187.68,US,I,False,4,Student,Family Support,No,Verified,Cleared
78,C_78,192.34,US,I,False,4,Software Developer,Savings,No,Verified,Cleared
79,C_79,184.25,US,I,False,4,Teacher,Savings,No,Verified,Cleared
80,C_80,379.63,US,I,False,5,Business Owner,Investment,No,Verified,Cleared
81,C_81,384.62,US,I,False,5,Teacher,Salary,No,Verified,Cleared
82,C_82,308.12,US,I,False,5,Teacher,Savings,No,Verified,Cleared
83,C_83,278.26,US,I,False,5,Business Owner,Investment,No,Verified,Cleared
84,C_84,341.06,US,I,False,5,Software Developer,Unknown,No,Verified,Cleared
85,C_85,255.13,US,I,False,5,Teacher,Savings,No,Verified,Cleared
86,C_86,362.33,US,I,False,5,Software Developer,Savings,Yes,Verified,Cleared
87,C_87,369.9,US,I,False,5,Software Developer,Salary,No,Verified,Cleared
88,C_88,379.01,US,I,False,5,Software Developer,Salary,No,Verified,Cleared
89,C_89,317.96,US,I,False,5,Engineer,Savings,No,Rejected,Cleared
90,C_90,389.95,US,I,False,5,Consultant,Investment,No,Verified,Cleared
91,C_91,315.94,US,I,False,5,Software Developer,Unknown,No,Verified,Cleared
92,C_92,290.11,US,I,False,5,Business Owner,Business Income,No,Verified,Cleared
93,C_93,332.05,US,I,True,5,Consultant,Unknown,No,Verified,Cleared
