ACCOUNT_ID,CUSTOMER_ID,INIT_BALANCE,COUNTRY,ACCOUNT_TYPE,IS_FRAUD,TX_BEHAVIOR_ID,OCCUPATION,SOURCE_OF_FUNDS,PEP_STATUS,DOCUMENT_STATUS,SANCTIONS_STATUS,KYC_STATUS,RISK_SCORE,RISK_LEVEL,RISK_REASONS,EDD_REQUIRED,EDD_STATUS
0,C_0,184.44,US,I,False,1,Software Developer,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
1,C_1,175.8,US,I,False,1,Engineer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
2,C_2,142.06,US,I,False,1,Engineer,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
3,C_3,125.89,US,I,False,1,Software Developer,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
4,C_4,151.13,US,I,False,1,Teacher,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
5,C_5,140.49,US,I,False,1,Business Owner,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
6,C_6,178.38,US,I,False,1,Business Owner,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
7,C_7,130.33,US,I,False,1,Business Owner,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
8,C_8,147.66,US,I,False,1,Software Developer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
9,C_9,158.34,US,I,False,1,Engineer,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
10,C_10,190.81,US,I,False,1,Software Developer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
11,C_11,150.47,US,I,False,1,Software Developer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
12,C_12,128.18,US,I,False,1,Consultant,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
13,C_13,175.58,US,I,False,1,Engineer,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
14,C_14,161.84,US,I,False,1,Consultant,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
15,C_15,125.05,US,I,False,1,Student,Family Support,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
16,C_16,190.97,US,I,False,1,Engineer,Unknown,No,Verified,Cleared,Verified,20,Low,Unknown source of funds,No,Not Required
17,C_17,198.28,US,I,False,1,Engineer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
18,C_18,181.02,US,I,False,1,Engineer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
19,C_19,190.22,US,I,False,1,Business Owner,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
20,C_20,262.03,US,I,False,2,Business Owner,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
21,C_21,345.97,US,I,False,2,Consultant,Unknown,Yes,Verified,Cleared,Verified,60,High,PEP status; Unknown source of funds,Yes,Pending Review
22,C_22,379.77,US,I,False,2,Consultant,Savings,Yes,Verified,Cleared,Verified,40,Medium,PEP status,Yes,Pending Review
23,C_23,336.8,US,I,False,2,Engineer,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
24,C_24,294.43,US,I,False,2,Consultant,Investment,Yes,Verified,Cleared,Verified,40,Medium,PEP status,Yes,Pending Review
25,C_25,220.14,US,I,False,2,Business Owner,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
26,C_26,286.83,US,I,False,2,Software Developer,Savings,No,Pending,Cleared,Pending,15,Low,Pending documents,No,Not Required
27,C_27,322.18,US,I,False,2,Software Developer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
28,C_28,382.6,US,I,False,2,Software Developer,Investment,Yes,Verified,Cleared,Verified,40,Medium,PEP status,Yes,Pending Review
29,C_29,393.32,US,I,False,2,Consultant,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
30,C_30,295.4,US,I,False,2,Student,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
31,C_31,373.06,US,I,False,2,Business Owner,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
32,C_32,252.1,US,I,False,2,Student,Savings,No,Pending,Cleared,Pending,15,Low,Pending documents,No,Not Required
33,C_33,361.01,US,I,False,2,Consultant,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
34,C_34,309.74,US,I,False,2,Teacher,Salary,No,Pending,Cleared,Pending,15,Low,Pending documents,No,Not Required
35,C_35,202.81,US,I,False,2,Engineer,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
36,C_36,343.94,US,I,False,2,Business Owner,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
37,C_37,279.76,US,I,False,2,Software Developer,Savings,No,Verified,Potential Match,Manual Review,50,Medium,Potential sanctions match,Yes,Pending Review
38,C_38,364.97,US,I,False,2,Student,Family Support,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
39,C_39,333.63,US,I,False,2,Teacher,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
40,C_40,400.23,US,I,False,3,Teacher,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
41,C_41,498.72,US,I,False,3,Business Owner,Business Income,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
42,C_42,573.52,US,I,False,3,Business Owner,Savings,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
43,C_43,448.78,US,I,False,3,Teacher,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
44,C_44,465.04,US,I,False,3,Engineer,Investment,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
45,C_45,574.09,US,I,False,3,Engineer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
46,C_46,438.21,US,I,False,3,Student,Family Support,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
47,C_47,513.5,US,I,False,3,Engineer,Salary,No,Verified,Cleared,Verified,0,Low,No major risk indicators,No,Not Required
