ALERT_ID,ALERT_TYPE,IS_FRAUD,TX_ID,SENDER_ACCOUNT_ID,RECEIVER_ACCOUNT_ID,TX_TYPE,TX_AMOUNT,TIMESTAMP
14,fan_in,True,1864,732,608,TRANSFER,2.88,4
14,fan_in,True,3521,813,608,TRANSFER,3.72,6
14,fan_in,True,4333,814,608,TRANSFER,3.66,8
11,fan_in,True,7876,488,889,TRANSFER,4.48,14
11,fan_in,True,9575,811,889,TRANSFER,3.95,16
23,cycle,True,10253,793,752,TRANSFER,10.39,18
11,fan_in,True,10397,782,889,TRANSFER,3.52,18
23,cycle,True,10916,201,753,TRANSFER,10.39,19
11,fan_in,True,11395,918,889,TRANSFER,3.94,20
23,cycle,True,11448,956,793,TRANSFER,10.39,20
23,cycle,True,11687,753,956,TRANSFER,10.39,20
7,fan_in,True,12887,753,350,TRANSFER,3.53,22
29,cycle,True,12891,707,783,TRANSFER,19.96,22
29,cycle,True,12944,783,971,TRANSFER,19.96,22
7,fan_in,True,13637,995,350,TRANSFER,3.42,24
37,cycle,True,14587,424,984,TRANSFER,10.97,25
29,cycle,True,14859,971,919,TRANSFER,19.96,25
7,fan_in,True,15015,956,350,TRANSFER,3.51,26
23,cycle,True,15036,752,201,TRANSFER,10.39,26
12,fan_in,True,15141,73,730,TRANSFER,4.77,26
29,cycle,True,15208,919,221,TRANSFER,19.96,26
29,cycle,True,15554,221,707,TRANSFER,19.96,27
37,cycle,True,16105,690,355,TRANSFER,10.97,27
37,cycle,True,16274,578,424,TRANSFER,10.97,28
7,fan_in,True,16354,965,350,TRANSFER,3.53,28
12,fan_in,True,16559,404,730,TRANSFER,3.14,28
37,cycle,True,16977,355,578,TRANSFER,10.97,29
12,fan_in,True,17357,996,730,TRANSFER,3.8,30
12,fan_in,True,18427,759,730,TRANSFER,4.34,32
13,fan_in,True,19199,819,997,TRANSFER,4.67,33
37,cycle,True,19236,984,690,TRANSFER,10.97,33
13,fan_in,True,20586,931,997,TRANSFER,4.9,35
2,fan_in,True,21096,881,842,TRANSFER,3.71,36
13,fan_in,True,21633,823,997,TRANSFER,4.86,37
2,fan_in,True,22307,620,842,TRANSFER,3.27,38
13,fan_in,True,22801,957,997,TRANSFER,4.77,39
2,fan_in,True,23156,298,842,TRANSFER,3.6,40
6,fan_in,True,24048,490,998,TRANSFER,4.51,41
2,fan_in,True,24187,815,842,TRANSFER,3.99,42
